state,Any_Other_Weapon,Destructive_Device,Machinegun,Silencer,Short_Barreled_Rifle,Short_Barreled_Shotgun,Total
Alabama,1203,78434,26307,48118,5285,2294,161641
Alaska,327,4722,1650,6040,1783,1302,15824
Arkansas,620,49499,5319,19979,3266,1158,79841
Arizona,1277,105067,16874,40485,13695,2340,179738
California,3932,272128,29047,15044,10796,13675,344622
Colorado,997,47275,7206,28378,6804,1775,92435
Connecticut,911,12747,52965,10819,3951,1007,82400
District of Columbia,69,39733,5086,389,848,1103,47228
Delaware,32,3032,585,326,233,644,4852
Florida,3560,181734,36194,85998,27092,8710,343288
Georgia,1992,72360,29525,63021,11755,11397,190050
Hawaii,34,7128,413,163,59,62,7859
Iowa,876,16013,3508,6490,604,1003,28494
Idaho,640,17733,4135,23475,3100,483,49566
Illinois,981,103789,33646,3672,2678,1721,146487
Indiana,1655,43209,19190,34630,6361,8974,114019
Kansas,708,23056,3679,20948,3195,1048,52634
Kentucky,1119,31652,14774,27733,3927,1863,81068
Louisiana,662,53320,6803,48903,5385,1758,116831
Massachusetts,826,16125,6682,9565,2977,977,37152
Maryland,1029,51750,25134,16183,5078,3935,103109
Maine,583,3480,5378,3371,2084,475,15371
Michigan,1172,25626,15142,18381,4042,1379,65742
Minnesota,2651,47026,8262,16272,3972,1124,79307
Missouri,1401,32259,9588,21271,5839,2638,72996
Mississippi,436,10219,4392,16745,2833,869,35494
Montana,450,3873,2368,13471,1505,466,22133
North Carolina,948,88957,12629,37283,9297,3124,152238
North Dakota,203,2712,1586,7512,974,285,13272
Nebraska,761,6676,2226,9790,1944,837,22234
New Hampshire,450,4647,22468,31144,4895,531,64135
New Jersey,429,43518,8006,1331,1664,2559,57507
New Mexico,310,80595,3887,9241,2815,732,97580
Nevada,860,36691,11752,18563,7476,1546,76888
New York,1633,43841,12687,4134,6321,7591,76207
Ohio,2248,82747,21561,52495,8352,6002,173405
Oklahoma,1191,16894,9347,37055,5005,1777,71269
Oregon,1571,22461,6487,24072,5283,1509,61383
Pennsylvania,2177,151611,18752,39924,10779,13134,236377
Rhode Island,41,3234,636,33,170,109,4223
South Carolina,772,35829,8877,50647,5456,4020,105601
South Dakota,361,3959,1874,13949,787,200,21130
Tennessee,1648,43024,14144,27040,7274,6029,99159
Texas,7182,250568,36534,242859,43354,8199,588696
Utah,474,16782,6884,42406,4930,1380,72856
Virginia,2917,201831,34074,44012,16599,8389,307822
Vermont,225,2617,1202,1246,433,149,5872
Washington,1926,46224,4345,31180,7173,987,91835
Wisconsin,770,31704,7443,19010,4684,1267,64878
West Virginia,461,18343,6761,6915,1715,1069,35264
Wyoming,312,120927,1790,8294,1087,396,132806
Other US Territories,6,323,215,18,12,97,671
